wkt_geom,LOCATION,APP_NO,STATUS,NO_OF_TURB,HUB_HT,TIP_HT,STATUS__OP,INSTALLED_,CAPACITY,Decision,lon,lat
Point (-4.45155329388891019 50.50827382147790701),"Higher Gonamena, Minions, Liskeard",PA10/07512,Application approved & operational,1,12.24m,14.99m,Operational,1,0,6/13/2011,-4.4516,50.5083
Point (-4.97482280436787416 50.51665496218237195),"Rosken Farm, St Merryn, Padstow",PA12/06817,Application approved & operational,1,25m,34.6m,Operational,1,0.05,10/3/2012,-4.9748,50.5167
Point (-4.97583204869892448 50.32141785511888088),"Penhale Farmhouse, Boswiddle, Ladock, Truro",PA12/07039,Application approved & operational,1,18.7m,21.25m,Operational,1,0.005,10/29/2012,-4.9758,50.3214
Point (-5.11680441724312285 50.30508762349152363),"Colraine Equestrian Centre, Callestick, Truro",PA12/06932,Application approved & operational,1,24.6m,34.2m,Operational,1,0.1,11/14/2012,-5.1168,50.3051
Point (-4.91469438058219232 50.29902307987477883),"Barteliver Farm, Grampound, Truro.",PA12/07184,Application approved & operational,1,22.6m,34.4m,Operational,1,0.05,10/31/2013,-4.9147,50.299
Point (-4.6479285787010145 50.65468742087304577),"Hendraburnick Farm, Camelford",PA12/07537,Application approved & operational,1,30m,45m,Operational,1,0.25,3/1/2013,-4.6479,50.6547
Point (-4.37836009386916292 50.61368783092336088),"The Beacon, South Petherwin, Launceston",PA12/07455,Approved on appeal and operational,1,50m,77m,Operating appeal,1,0.5,7/15/2014,-4.3784,50.6137
Point (-4.5916447491453658 50.50384598699658056),"Castle Dewey Cottages, Warleggan, Bodmin",PA12/05804,Application approved & operational,1,15m,17.2m,Operational,1,0.005,11/7/2012,-4.5916,50.5038
Point (-5.09565416847664032 50.27870950250353133),"Great Roseveth, Shortlanesend, Truro",PA12/07275,Application approved & operational,1,29m,38.6m,Operational,1,0.05,10/18/2012,-5.0957,50.2787
Point (-4.50092651874487526 50.6672794358819516),"Higher Churchtown Farm, Tresmeer, Launceston",PA12/01690/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,8/15/2012,-4.5009,50.6673
Point (-4.46606276896648424 50.88774524312982095),"Taylors Cross Farm, Kilkhampton, Bude",PA12/07245,Application approved & operational,1,30m,45m,Operational,1,0.25,6/12/2013,-4.4661,50.8877
Point (-4.57473955623591255 50.69452410127343001),"Cardew Bungalow, Warbstow, Launceston",PA12/06587,Application approved & operational,1,15m,18.8m,Operational,1,0.01,10/25/2012,-4.5747,50.6945
Point (-5.45723136686756671 50.1352311697038715),"Land NW of Tregurtha Farm, Plain An Gwarry",PA12/02385/PREAPP,Pre application - closed/issued,1,25m,---,Closed pub avail,0,0,10/23/2012,-5.4572,50.1352
Point (-5.66163348244161213 50.06718155073001242),"Trengothal Farm, St Levan, Penzance",PA12/07841,Application approved on appeal,1,24.6m,34.2m,Appeal allowed,0,0.05,5/23/2013,-5.6616,50.0672
Point (-4.49099625770800337 50.76489381053864491),"Kitleigh Bungalow, Stewarts Road",PA12/07391,Application approved not constructed,1,20.58m,27.13m,Approved,0,0.02,4/3/2013,-4.491,50.7649
Point (-5.03956260141641543 50.43681616768078158),"W P L Cowling & Sons, Trebelsue Farm , Newquay",PA12/07846,Application approved & operational,1,25m,35m,Operational,1,0.05,10/25/2012,-5.0396,50.4368
Point (-5.16578269363799247 50.16122036314959587),"Kessel Downs Quarry, Halvasso, Penryn",PA12/02495/PREAPP,Pre application - closed/issued,1,---,56.5m,Closed pub avail,0,0,5/24/2013,-5.1658,50.1612
Point (-4.56430568707743767 50.62612473791728718),"Higher Basil Farm, Altarnun Road, St Clether",PA12/02447/PREAPP,Pre application - closed/issued,2,---,36m,Closed pub avail,0,0.2,10/10/2012,-4.5643,50.6261
Point (-4.57954430796246736 50.69670375513738492),"Land W of Trevillian Cottage, Warbstow, Launceston",PA12/02493/PREAPP,Pre application - closed/issued,1,50m,77m,Declined pre app,0,0.5,12/18/2012,-4.5795,50.6967
Point (-4.66113215126186464 50.47107888354738492),"Kingswood Farmhouse, Cardinham, Bodmin",PA12/02186/PREAPP,Pre application - closed/issued,1,50m,74m,Closed pub avail,0,0.5,8/31/2012,-4.6611,50.4711
Point (-4.9449959543563784 50.33199750830901564),"Land at Fentonladock Farm, Newmills, Ladock, Truro",PA12/02329/PREAPP,Pre application - closed/issued,1,---,76m,Closed pub avail,0,0.8,8/31/2012,-4.945,50.332
Point (-4.49689974009792603 50.8436670594338338),"Colebrook House, Bush, Bude",PA11/02657,Application approved & operational,1,15m,17.5m,Operational,1,0.015,5/17/2012,-4.4969,50.8437
Point (-4.92552426762429008 50.27298156338542157),"Grogarth Farm, Tregony, Truro",PA10/07881,Application approved & operational,1,29.6m,39.6m,Operational,1,0.05,4/19/2012,-4.9255,50.273
Point (-4.43996269029620461 50.86965240856817161),"East Langford Farm, Thurdon, Bude",PA11/00894,Application approved & operational,1,15.4m,19.4m,Operational,1,0.01,3/23/2011,-4.44,50.8697
Point (-5.24735048895262413 50.12501369304851551),"South Boderwennack Farm, Boderwennack",PA11/01346,Application approved & operational,1,15m,17.8m,Operational,1,0.006,4/26/2011,-5.2474,50.125
Point (-5.21292966712151351 50.23842870291004203),"Cornerside, Channel View Farm, Sandy Lane, Redruth",PA11/02285,Application approved & operational,1,15m,17.8m,Operational,1,0.006,5/20/2011,-5.2129,50.2384
Point (-5.27335908069361903 50.22319996487152594),"Rear Of Number 3 Dudnance Lane, Pool, Redruth",PA11/02297,Application approved & operational,1,15m,20m,Operational,1,0.006,5/16/2011,-5.2734,50.2232
Point (-5.01023904424585709 50.49020164402696054),"Engollan Farm, Engollan, Wadebridge",PA11/03744,Application approved & operational,1,18m,22.25m,Operational,1,0,7/6/2011,-5.0102,50.4902
Point (-5.22045045275479058 50.12459110452803657),"Mengearne Farm, Laity, Wendron, Helston",W2/PA05/01616/F,Application approved & operational,1,9m,11.75m,Operational,1,0.006,2/10/2006,-5.2205,50.1246
Point (-5.28356489700093412 50.25231706855277025),"Trengove Farm, Cot Road, Illogan",PA12/08046,Application approved & operational,1,25m,34.4m,Operational,1,0.055,4/4/2013,-5.2836,50.2523
Point (-5.19451342850736442 50.18857960241019356),"Carn Farm, Carn, Stithians, Truro",PA12/02566/PREAPP,Pre application - closed/issued,3,---,32.5m,Closed pub avail,0,0,10/9/2013,-5.1945,50.1886
Point (-4.49520587351090928 50.6404437299120076),"Lidcott Farm, Egloskerry,Launceston",PA12/07881,Application approved & operational,1,25m,34.4m,Operational,1,0.055,10/30/2012,-4.4952,50.6404
Point (-4.36363614766327856 50.53449052166735811),"Higher Manaton Bungalow, Golberdon, Callington",PA12/02634/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0.5,10/16/2012,-4.3636,50.5345
Point (-5.1136969447896421 50.15406146271029542),"Higher Kergilliack Farm, Hillhead Road, Falmouth",PA12/02211/PREAPP,Pre application - closed/issued,4,---,40m,Closed pub avail,0,0.59,9/13/2012,-5.1137,50.1541
Point (-4.94663779015678085 50.36607193604790922),"Land at Chytane Farm, Summercourt, Newquay",PA12/02350/PREAPP,Pre application - closed/issued,2,74m,101m,Closed pub avail,0,1,9/20/2012,-4.9466,50.3661
Point (-4.4531503424791401 50.59269019423943092),"Trewanta Park, Lewannick, Launceston",PA12/02017/PREAPP,Pre application - closed/issued,1,30m,40m,Closed pub avail,0,0,9/24/2012,-4.4532,50.5927
Point (-5.095871581829444 50.30676000415486016),"Nanteague Farm, Marazanvose, Truro",PA12/02729/PREAPP,Pre application - closed/issued,1,50m,76m,Closed pub avail,0,0.5,12/21/2012,-5.0959,50.3068
Point (-5.0087571557115842 50.36765781816929888),"Tredinnick Farm, Summercourt, Newquay",PA12/02730/PREAPP,Pre application - closed/issued,1,50m,76m,Closed pub avail,0,0.5,1/7/2013,-5.0088,50.3677
Point (-5.18409633724109753 50.15226963956864381),"Land at Little Trevease Farm, Constantine",PA12/02692/PREAPP,Pre application - closed/issued,3,---,---,Closed pub avail,0,0,11/6/2012,-5.1841,50.1523
Point (-4.61040906350152024 50.64089556497332723),"Higher Tremail Farm, Tremail, Camelford",PA12/08818,Application approved & operational,1,25m,34.4m,Operational,1,0.05,11/9/2012,-4.6104,50.6409
Point (-4.55754803092699579 50.39791024186911272),"Bocaddon Farm, Bocaddon, Looe",PA12/09363,Application approved on appeal,1,55m,79m,Appeal allowed,0,0.5,6/30/2014,-4.5575,50.3979
Point (-4.91518657634899103 50.22951124104134379),"Calendra, Veryan, Truro",PA12/02825/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0.5,1/7/2013,-4.9152,50.2295
Point (-4.83112168750873661 50.34582854865310253),"Land at Carne Hill, Trewoon, St Austell",PA12/02853/PREAPP,Pre application - closed/issued,1,44m,71m,Closed pub avail,0,0.5,11/13/2012,-4.8311,50.3458
Point (-4.69518871521413494 50.67763089898815565),"Trerosewill Farmhouse, Gibb Lane, Boscastle",PA12/02042/PREAPP,Pre application - closed/issued,1,25m,33m,Closed pub avail,0,0.05,10/5/2012,-4.6952,50.6776
Point (-4.67652415074917638 50.38220285953385513),"Trevenning Farm, Lostwithiel",PA12/08987,Application approved not constructed,1,24.6m,34.2m,Approved,0,0.05,2/12/2013,-4.6765,50.3822
Point (-4.90013809081122176 50.27656402096484101),"Carveth, Tregony",PA12/09063,Application approved not constructed,1,24.9m,34.5m,Approved,0,0.05,6/5/2013,-4.9001,50.2766
Point (-4.9082848171769049 50.39076342508455042),"Gaverigan Manor Farm, Indian Queens, St Columb",PA12/02951/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,11/16/2012,-4.9083,50.3908
Point (-4.34811504230528811 50.62169643903802552),"Land SW of Newton Farm, Launceston",PA12/02213/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,10/15/2012,-4.3481,50.6217
Point (-4.80406009019567115 50.41937167974911915),"Tremodrett House, Tremodrett Lane, Roche",PA12/02971/PREAPP,Pre application - closed/issued,1,---,61-99m,Closed pub avail,0,0.5,12/5/2012,-4.8041,50.4194
Point (-5.66997340043503506 50.13164522885185193),"East Tregeseal Farm, 6 Tregeseal Hill, St Just",PA12/03033/PREAPP,Pre application - closed/issued,1,24m,33.6m,Closed pub avail,0,0.05,1/18/2013,-5.67,50.1316
Point (-4.41349520664137085 50.6184225461256716),"Land S of Papillion, South Petherwin, Launceston",PA12/09666,Application approved & operational,1,50m,77m,Operational,1,0.5,4/30/2013,-4.4135,50.6184
Point (-4.2389407903951728 50.51990653761405525),"Salters Farmhouse, Whiterocks Park, St Anns Chapel",PA12/02414/PREAPP,Pre application - closed/issued,1,24.8m,34.4m,Closed pub avail,0,0.05,11/2/2012,-4.2389,50.5199
Point (-5.13316203454731124 50.20364077958615923),"Land adj Holly House, School Hill, Perranwell Stn",PA12/09646,Application approved & operational,1,23m,34.2m,Operational,1,0.1,3/13/2013,-5.1332,50.2036
Point (-5.24011463293978608 50.22870047493910306),"11 West Trevingey, Redruth",W2/PA06/02150/F,Application approved & operational,1,---,---,Operational,1,0.001,2/19/2007,-5.2401,50.2287
Point (-5.24363617716369923 50.18075001967306292),"North Calvadnack Farm, Polgear, Redruth",W2/PA06/02125/F,Application approved & operational,1,15m,17.8m,Operational,1,0.006,1/29/2007,-5.2436,50.1808
Point (-5.34337390524982947 50.12409423105115991),"Sparnon Farm, Tregonning Lane, Carleen, Breage",W2/PA06/02180/F,Application approved & operational,1,9m,11.8m,Operational,1,0.006,2/13/2007,-5.3434,50.1241
Point (-5.51553669674350999 50.1539884993402012),"Castle Gate Cottage, Castle Gate, Ludgvan",W1/09-1303,Application approved & operational,1,---,---,Operational,1,0,2/1/2010,-5.5155,50.154
Point (-5.62872181074409905 50.07613709490869525),"Trevorgans Farm, Trevorgans, St Buryan, Penzance",W1/09-0882,Application approved & operational,1,---,---,Operational,1,0,9/24/2009,-5.6287,50.0761
Point (-5.3604207989603001 50.1977460719030617),"Little Trenawin, Trenawin Lane, Connor Downs",W1/09-0593,Application approved & operational,1,15.4m,18.1m,Operational,1,0,7/28/2009,-5.3604,50.1977
Point (-5.38205245467220816 50.17818435164216595),"Howldrevel, Drannack Lane, Wheal Alfred Rd, Hayle",W1/09-0320,Application approved & operational,1,---,---,Operational,1,0.006,5/14/2009,-5.3821,50.1782
Point (-5.19013744624561291 50.12748795095041743),"Chegwidden Farm, Constantine, Falmouth",W2/PA09/01537/F,Application approved & operational,1,12.6m,15.3m,Operational,1,0.006,3/29/2010,-5.1901,50.1275
Point (-5.26507724906402608 50.2385154812222865),"The Bungalow, Spar Lane, Illogan, Redruth",W2/PA09/01231/F,Application approved & operational,1,3m,3.7m,Operational,1,0.001,11/18/2009,-5.2651,50.2385
Point (-5.35916638542903456 50.12815362051680523),"Wheal Breage, Great Work, Ashton, Helston",W2/PA09/00508/F,Application approved & operational,1,12m,14.7m,Operational,1,0,8/3/2009,-5.3592,50.1282
Point (-5.36920066700380794 50.12013249097205403),"Lower Balwest Farm, Lr Balwest, Germoe, Helston",W2/PA09/00452/F,Application approved & operational,1,12m,14.5m,Operational,1,0.005,6/11/2009,-5.3692,50.1201
Point (-5.25597914028178614 50.15280669408019065),"Tregwynsac, Crelly, Trenear, Helston",W2/PA09/00115/F,Application approved & operational,1,10m,12.7m,Operational,1,0.006,4/15/2009,-5.256,50.1528
Point (-5.15831659459527181 50.14113528297049527),"Chyan Farm, Jobs Water, Penryn",W2/PA09/00016/F,Application approved & operational,2,15m,17.8m,Operational,2,0.012,4/15/2009,-5.1583,50.1411
Point (-5.18770527360968359 50.18049446054729401),"Carn Vean, Tretheague Mill, Stithians, Truro",W2/PA08/00445/F,Application approved & operational,1,15m,17.8m,Operational,1,0.006,6/2/2008,-5.1877,50.1805
Point (-5.35459293613768406 50.13278102238624712),"Greenvale, Godolphin Cross, Helston",W2/PA08/00924/F,Application approved & operational,2,15.2m,16.8m,Operational,2,0.004,9/1/2008,-5.3546,50.1328
Point (-5.1604159155459719 50.15272182673645318),"Springfield Cottage, Boundis Farm, Halvasso",W2/PA08/01693/F,Application approved & operational,1,10m,11.8m,Operational,1,0,11/27/2008,-5.1604,50.1527
Point (-5.24633513777384231 50.23554950439893929),"Tolgus Depot, Tolgus, Redruth",W2/PA08/01636/F,Application approved & operational,1,15m,17.4m,Operational,1,0,12/4/2008,-5.2463,50.2355
Point (-5.13747814144103554 50.18577872367750103),"Gadles Farm, Laity Moor, Ponsanooth, Truro",W2/PA08/01737/F,Application approved & operational,1,15m,17.5m,Operational,1,0.005,12/23/2008,-5.1375,50.1858
Point (-5.63988614528035281 50.1168003411224916),"The Barn, Leswidden, St Just",W1/08-0194,Application approved & operational,1,---,---,Operational,1,0,4/21/2008,-5.6399,50.1168
Point (-5.61037924759702822 50.07550454348932334),"Santry Farm, Newlyn Road, St Buryan, Penzance",W1/08-0860,Application approved & operational,1,12m,---,Operational,1,0.005,8/11/2008,-5.6104,50.0755
Point (-5.23089668323589851 50.13045946293508592),"Trelowareth, Manhay, Helston",W2/PA07/00553/F,Application approved & operational,1,15m,17.8m,Operational,1,0.006,5/25/2007,-5.2309,50.1305
Point (-4.59214959505830755 50.63419058246379478),"Higher Penhale, St Clether",PA12/09462,Application approved not constructed,2,36m,45.6m,Approved,0,0.11,5/1/2013,-4.5921,50.6342
Point (-4.52131244669805632 50.71438446505264608),"Exemoor, Week St. Mary, Holsworthy",PA12/10065,Application approved & operational,1,24m,35m,Operational,1,0.055,8/13/2013,-4.5213,50.7144
Point (-4.88382013619770206 50.30431582884901331),"Garlenick Estate, Grampound",PA12/09852,Application approved & operational,2,65m,110m,Operational,2,4,1/31/2013,-4.8838,50.3043
Point (-4.4905883933574513 50.84175668883528942),"New Leigh, Launcells, Bude",PA12/09678,Application approved & operational,1,24.8m,34.5m,Operational,1,0.055,4/17/2013,-4.4906,50.8418
Point (-4.81507324788216717 50.42521636904954363),"S of A30, Woodlands Barton, Wireless Road",PA12/10296,Application approved & operational,2,57-60m,100,Operational,2,5,2/11/2013,-4.8151,50.4252
Point (-4.98718853223881453 50.39576023829090445),"Coswarth Farm, Coswarth, Newquay",PA12/02949/PREAPP,Pre application - closed/issued,1,40m,67m,Closed pub avail,0,0.5,11/16/2012,-4.9872,50.3958
Point (-4.58713015031607796 50.46730261247460447),"Great Tredinnick Farm, Twowatersfoot, Mount",PA12/05146,Application approved not constructed,1,32.4m,46.9m,Approved,0,0.225,3/7/2013,-4.5871,50.4673
Point (-4.50786413192144853 50.81164891560245422),"Penleaze, Hobbacott Lane, Marhamchurch, Bude.",PA12/09058,Application approved & operational,1,36m,45.6m,Operational,1,0.05,11/23/2012,-4.5079,50.8116
Point (-4.37896464548773601 50.40324363078889292),"Wilton Farm, Trerulefoot, Saltash",PA12/05276,Approved on appeal and operational,1,40m,67m,Operating appeal,1,0.5,1/30/2014,-4.379,50.4032
Point (-5.44869330540599162 50.1516087769904928),"Land at Tregethas Farm, 6 Long Lanes, St Hilary",PA12/10374,Application approved & operational,3,25m,35m,Operational,3,0.15,12/20/2013,-5.4487,50.1516
Point (-5.07568243755701598 50.30683920205359527),"Pennare Farm, St Allen, Truro",PA12/03401/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,12/7/2012,-5.0757,50.3068
Point (-4.65254865459143208 50.65928329134594321),"Hendraburnick Farm, Davidstow, Camelford",PA12/11175,Application approved & operational,1,25m,35m,Operational,1,0.05,6/24/2013,-4.6525,50.6593
Point (-4.50288881596873214 50.90422842762517774),"Field SE of Marsborough, Shop, Bude",PA12/10481,Refused on appeal Planning Application,1,24m,34.2m,Appeal refused,0,0.05,3/24/2015,-4.5029,50.9042
Point (-4.59440745071377421 50.71203194882600229),"Collamoor Head, Cansford Dip, Otterham, Camelford",PA12/11199,Application approved & operational,1,25m,35m,Operational,1,0.05,4/19/2013,-4.5944,50.712
Point (-4.94963221768097217 50.50347351121218509),"Tregingey Farm , St. Issey, Wadebridge",PA12/11017,Application approved & operational,1,20.6m,27.1m,Operational,1,0.02,3/26/2013,-4.9496,50.5035
Point (-4.60283129070807018 50.48195972974739476),"South Bofindle, Mount, Bodmin",PA12/10968,Application approved not constructed,1,36m,46.3m,Approved,0,0.055,1/29/2013,-4.6028,50.482
Point (-4.4176750315507789 50.70412018549475164),"Land at Bennacott Farm, Boyton, Launceston",PA12/11125,Application approved & operational,1,50m,77m,Operational,1,0.5,4/11/2013,-4.4177,50.7041
Point (-4.47439481783508075 50.65520607407447784),"Land at Rowlands Corner, Egloskerry, Launceston",PA12/11104,Application approved not constructed,1,24m,34.4m,Approved,0,0.055,11/5/2013,-4.4744,50.6552
Point (-4.92288005918867544 50.45015314637005588),"Land near Trevornick Farm, St Columb",PA12/11304,Application approved & operational,1,25m,35m,Operational,1,0.05,2/26/2013,-4.9229,50.4502
Point (-4.50497073264698145 50.90600884775091117),"Land at Marsborough Farm, Shop, Bude",PA12/11254,Refused on appeal Planning Application,1,36m,45.5m,Appeal refused,0,0.05,3/24/2015,-4.505,50.906
Point (-4.47687846762718067 50.81624433747110459),"Land NE of Thurlibeer House, Launcells, Bude",PA12/11218,Application approved & operational,1,36m,46m,Operational,1,0.05,2/12/2013,-4.4769,50.8162
Point (-4.86559289489564684 50.284137594306479),"Pencoise Farm, Tregony, Truro",PA12/11334,Application approved & operational,1,18.4m,24.9m,Operational,1,0.011,2/7/2013,-4.8656,50.2841
Point (-5.02386238500214688 50.35946493110771627),"Trevilson Farm, Trevilson",PA12/11729,Application approved & operational,1,24.6m,34.2m,Operational,1,0.055,4/16/2013,-5.0239,50.3595
Point (-4.89739320419367186 50.48536972094588293),"St Jidgey Downs, Blable Farm, Blable Lane",PA12/12039,Application approved & operational,1,40m,67m,Operational,1,0.5,11/1/2013,-4.8974,50.4854
Point (-5.05965621806925991 50.2308349058891892),"Halvarras Farm, Halvarras Rd, Playing Place",PA12/03474/PREAPP,Pre application - closed/issued,1,36.4m,45.5m,Closed pub avail,0,0.05,1/28/2013,-5.0597,50.2308
Point (-4.70532604483609784 50.57795477027623576),"W of Helsbury Park Woods, Michaelstow, Bodmin",PA13/00089,Application approved not constructed,1,28.4m,45.4m,Approved,0,0.4,6/26/2013,-4.7053,50.578
Point (-5.45700400653590023 50.13526671184025219),"Land N of Tregurtha Farm, Gwallon Lane, Marazion",PA12/11932,Application approved & operational,1,24m,34.5m,Operational,1,0.05,2/18/2013,-5.457,50.1353
Point (-4.45248349986050762 50.59282111076863941),"Trewanta Park, Lewannick, Launceston",PA12/12043,Application approved & operational,1,25m,35m,Operational,1,0.05,3/5/2013,-4.4525,50.5928
Point (-4.505772084677929 50.67236908639669934),"Ashgrove Farm, Tremaine, Launceston",PA12/12060,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,3/13/2013,-4.5058,50.6724
Point (-4.34960284272206721 50.62225234921849193),"Land E of Hurdon Road, Hurdon Road, Launceston",PA12/12067,Application approved & operational,1,50m,77m,Operational,1,0.5,4/12/2013,-4.3496,50.6223
Point (-4.47382497761186748 50.91727412844219458),"Little Holloborough Farm, Nr Eastcott, Morwenstow",PA12/12081,Approved on appeal and operational,1,40m,67m,Operating appeal,1,0.5,4/14/2014,-4.4738,50.9173
Point (-4.81300759245209608 50.35839434057963615),"Goonvean Works, Greensplat, St Austell",PA12/12138,Application approved not constructed,1,37m,53.7m,Approved,0,0.33,4/16/2013,-4.813,50.3584
Point (-5.00610326949866113 50.3836837004081417),"Dairyland, Summercourt, Newqua",PA13/00488,Application approved & operational,1,25m,35m,Operational,1,0.05,3/18/2013,-5.0061,50.3837
Point (-4.93201961242225018 50.48419496318567212),"Crealy Cornwall, St Issey, Wadebridge",PA13/00737,Application approved & operational,1,50m,77m,Operational,1,0.5,7/24/2013,-4.932,50.4842
Point (-4.38570486161817286 50.77129389433043372),"East Venton, North Tamerton, Holsworthy",PA12/03158/PREAPP,Pre application - closed/issued,1,25m,37m,Closed pub avail,0,0.1,1/30/2013,-4.3857,50.7713
Point (-5.61447914566184192 50.12294459289608994),"Landvue, Trannack, Newbridge, Penzance",PA13/00688,Application approved not constructed,1,10m,14.27m,Approved,0,0.005,3/14/2013,-5.6145,50.1229
Point (-4.56161617167874667 50.35445938391924159),"Woodford Farm, Lansallos, Looe",PA12/12011,Refused on appeal Planning Application,1,50m,77m,Appeal refused,0,0.5,3/24/2015,-4.5616,50.3545
Point (-4.7632014882351088 50.59178512008561057),"Land NE of Trekee Bungalow, St. Teath, Bodmin",PA13/00969,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,3/27/2013,-4.7632,50.5918
Point (-4.66050059268553341 50.4690970948468447),"Land east of Kingswood Farm, Cardinham, Bodmin",PA13/00625,Application approved & operational,1,34.5m,44.9m,Operational,1,0.05,6/18/2013,-4.6605,50.4691
Point (-5.45504855570551861 50.15736624247120545),"Rosevidney Farm, Crowlas, Penzance",PA10/08266,Application approved & operational,1,24m,34.4m,Operational,1,0.05,2/17/2011,-5.455,50.1574
Point (-5.60654164065038785 50.06441178266332059),"Downs Barn Farm, St Buryan, Penzance",W1/08-0373,Application approved & operational,1,9m,---,Operational,1,0.006,7/15/2008,-5.6065,50.0644
Point (-5.56991318529680957 50.08741040199334549),"Rosevale Farm, Kerris, Paul, Penzance",W1/06/P/1402,Application approved & operational,1,12m,---,Operational,1,0.005,2/2/2007,-5.5699,50.0874
Point (-5.63523196834816176 50.11029235184401642),"The High Barn, Grumbla, Sancreed",W1/08-1596,Application approved & operational,1,---,---,Operational,1,0,2/3/2009,-5.6352,50.1103
Point (-4.73290605336791614 50.586166437896253),"Carkeen Farm, St Teath, Bodmin",PA11/04993,Application approved not constructed,2,23.8m,34.2m,Approved,0,0.1,5/31/2013,-4.7329,50.5862
Point (-4.82344420187707446 50.41435301924838797),"Trebilcock Farm, Roche, St Austell",PA13/00890,Application approved & operational,1,50m,77m,Operational,1,0.5,5/24/2013,-4.8234,50.4144
Point (-4.96519665702661772 50.34579844770057377),"Goonabarn Farm, Summercourt, Newquay",PA13/00848,Application approved & operational,2,50m,76m,Operational,1,0.5,7/4/2013,-4.9652,50.3458
Point (-4.67375853551485321 50.59150635298581022),"Newhall Farm, Advent, Camelford",PA12/02943/PREAPP,Pre application - closed/issued,1,18m,20.75m,Closed pub avail,0,0.005,2/11/2013,-4.6738,50.5915
Point (-4.59944857964143861 50.71509405136212223),"Sextons Field, Tresparrett, Camelford",PA13/00449/PREAPP,Pre application - closed/issued,1,50m,65m,Closed pub avail,0,0.25,4/16/2013,-4.5994,50.7151
Point (-4.47019324216977054 50.80504404120106443),"Buttsbear Cross, Bridgerule, Holsworthy",PA13/00596/PREAPP,Pre application - closed/issued,1,50m,79m,Closed pub avail,0,0,3/11/2013,-4.4702,50.805
Point (-5.12481890603021739 50.06814312017677082),"Treworgie Farm, Manaccan, Helston",PA13/01526,Application approved & operational,1,15.4m,20.9m,Operational,1,0.015,4/10/2013,-5.1248,50.0681
Point (-4.65580460512114325 50.65056836079720881),"Starapark Farm, Camelford.",PA13/01764,Application approved & operational,2,22.5m,34.2m,Operational,2,0.11,6/5/2013,-4.6558,50.6506
Point (-4.49155387892865132 50.85982026115252808),"Collaton Farm, Kilkhampton Road, Bude",PA13/01766,Application approved & operational,1,40m,66m,Operational,1,0.5,8/6/2013,-4.4916,50.8598
Point (-4.69694352319303388 50.65040258737767687),"Condolden Farm, Tintagel.",PA13/02044,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,4/25/2013,-4.6969,50.6504
Point (-4.42970910977583276 50.76471390834609565),"East Balsdon Farm, Whitstone, Holsworthy",PA12/11717,Application approved & operational,1,50m,77m,Operational,1,0.5,3/18/2013,-4.4297,50.7647
Point (-4.69869830459043403 50.47471091154896783),"Steppes Farm,Callywith,Bodmin",E1/2007/01580,Application approved & operational,1,30m,34.45m,Operational,1,0.025,10/2/2007,-4.6987,50.4747
Point (-4.92214695131336022 50.48441388225516135),"Trelow Farm, St. Issey, Wadebridge",PA13/02328,Application approved & operational,1,50m,77m,Operational,1,0.5,10/18/2013,-4.9221,50.4844
Point (-4.5579777002898334 50.68324360302812437),"Land at Tredarrup Farm, Trelash, Warbstow",PA13/02391,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,5/16/2013,-4.558,50.6832
Point (-4.9393070569311659 50.36728281584294109),"Burthy Row Farm, Summercourt, Newquay",PREAPP12/00870,Pre application - closed/issued,2,32m,45.5m,Closed pub avail,0,0.225,4/25/2012,-4.9393,50.3673
Point (-4.87124792858097511 50.28442153459280206),"Pittsdown Farm, Tregony, Truro",PA13/00937/PREAPP,Pre application - closed/issued,1,50m,79m,Closed pub avail,0,0.5,7/9/2013,-4.8712,50.2844
Point (-4.54243423299059934 50.33746766162217057),"Great Tregue, Lansallos, Looe",PA13/02351,Application approved & operational,1,36m,46m,Operational,1,0.05,8/13/2013,-4.5424,50.3375
Point (-4.57363416523222099 50.66693218836989132),"Land NE of Lundy View Farm, Lundy View, Hallworthy",PA13/03004,Application approved not constructed,1,36.4m,46m,Approved,0,0.05,6/5/2013,-4.5736,50.6669
Point (-4.56436271122273407 50.62600071151969416),"Higher Basil Farm, Altarnun Road, St Clether",PA13/03402,Application approved & operational,2,29.3m,39.7m,Operational,2,0.15,6/24/2013,-4.5644,50.626
Point (-4.87057929052377858 50.55079831065980756),"Great Keiro Farm, St Minver, Wadebridge",PA13/03046,Application approved & operational,1,20m,23.5m,Operational,1,0.01,6/4/2013,-4.8706,50.5508
Point (-4.72039182012292891 50.56387782441155565),"Land at Tregarrick Farm, St Tudy, Bodmin",PA13/01245/PREAPP,Pre application - closed/issued,1,50m,78m,Closed pub avail,0,0.5,5/31/2013,-4.7204,50.5639
